event_date,event_time,job_number,host_name,city,state,venue,topic,registration_max,fulfillment_percent,net_registrants,gross_registrants,fb_registrants,fb_cpr,attended_hh,walk_ins,attendance_rate,cpa,marketing_start_date,fb_days_running,fb_impressions,cpm,fb_reach,broker_dealer_account,ria_account,venue_type,venue_image_allowed,venue_disclosure_needed
2024-06-13,18:00:00,DN-023762,Yahya Al Azzawi,Riverview,FL,Hillsborough Community College at The Regent,social_security_567,24,0.71,17,25,23,13.64,7,0,0.28,41.08,2024-05-29,9.0,27422,21.39,0,,,Community College,True,True
2024-02-28,18:00:00,DN-021582,Bradley D Vey,Fenton,MI,Fenton Community and Cultural Center,social_security_567,48,0.63,30,37,23,92.9,18,1,0.49,132.72,2024-02-14,15.0,99950,21.38,22300,,truAdvice LLC,Community Center,True,True
2023-05-24,18:30:00,DN-018589,Shea Swenson,Herriman,UT,Herriman Library,estate_planning_567,24,0.83,20,26,23,26.62,7,0,0.27,91.27,2023-05-09,9.0,59753,21.38,78400,,,Library,True,True
2023-02-06,18:00:00,DN-018523,Geoffrey Alan Johnson,Gilbert,AZ,Gilbert Southeast Regio0l Library,estate_planning_567,24,0.79,19,26,23,30.99,9,0,0.35,81.22,2023-01-25,15.0,71190,21.33,122700,,"Wealth Ma0gement Advisors, LLC",Library,True,True
2023-01-03,11:00:00,DN-017969,Steven Bosworth,Wesley Chapel,FL,Wesley Chapel Recreation Complex,social_security_567,24,0.71,17,23,23,21.54,14,0,0.61,31.6,2022-12-20,16.0,50527,21.32,38200,,,Recreation Center,True,True
2023-01-23,11:00:00,DN-017614,Shelley Leavitt 0del,Houston,TX,Jungman Neighborhood Library,estate_planning_567,24,1.13,27,33,23,21.28,12,0,0.36,39.63,2023-01-09,10.0,39929,21.32,229900,"Lion Street Fi0ncial, LLC","Csenge Advisory Group, LLC",Library,True,True
2023-08-29,11:00:00,DN-020343,Steven Bosworth,Tampa,FL,Arbor Greene Community Center,social_security_567,24,0.67,16,25,23,21.05,8,0,0.32,52.62,2023-08-15,11.0,39683,21.22,29100,,,Community Center,True,True
2023-02-23,18:30:00,DN-019049,Michael Cohen,Easton,PA,Forks Township Community Center,taxes_in_retirement_567,24,0.96,23,30,23,11.5,16,1,0.53,17.2,2023-02-10,5.0,24394,21.22,46200,,,Community Center,True,True
2024-02-13,18:30:00,DN-022303,Kurt M Arseneau,Cumming,GA,Forsyth Conference Center at Lanier Technical College,taxes_in_retirement_567,29,1.0,29,34,23,25.32,17,1,0.5,40.9,2024-01-29,9.0,63329,21.19,67200,,Solomon API LLC,Tech School,True,True
2024-05-16,11:00:00,DN-023927,Henry Lee Parrott,Murfreesboro,TN,The View at Fountains,social_security_567,48,0.4,19,25,23,46.52,9,0,0.36,118.88,2024-05-06,11.0,50845,21.04,43900,,"Virtue Capital Ma0gement, LLC",Event Venue,True,True
2023-10-24,18:30:00,DN-020310,Dave Alan Bucha0n,Lincoln,NE,Charles H. Gere Branch Library,social_security_567,36,0.53,19,25,23,32.3,11,1,0.44,65.55,2023-10-10,16.0,77270,20.9,64200,,"CreativeOne Wealth, LLC",Library,True,True
2025-01-15,18:00:00,118030,Brian Addis,Tipp City,OH,Tipp City Public Library,taxes_in_retirement_567,24,0.83,20,23,23,44.56,13,0,0.57,75.48,2024-12-30,16.0,95980,20.89,72445,GWN Securities Inc.,GWN Securities Inc.,Library,True,True
2024-07-16,11:00:00,DN-023974,William Todd Henehan,Westerville,OH,The Point at Otterbein University,estate_planning_567,48,0.46,22,30,23,69.64,10,0,0.33,187.27,2024-07-02,11.0,76810,20.85,90500,GWN Securities Inc.,GWN Securities Inc.,University/College,True,True
2024-01-17,18:00:00,DN-022034,Spiros Vassilakos,New Port Richey,FL,New Port Richey Recreation & Aquatic Center,taxes_in_retirement_567,24,0.92,22,28,23,10.96,10,0,0.36,38.97,2024-01-02,4.0,24412,20.65,77300,"Lion Street Fi0ncial, LLC","Csenge Advisory Group, LLC",Recreation Center,True,True
2024-01-16,11:00:00,DN-022034,Spiros Vassilakos,New Port Richey,FL,New Port Richey Recreation & Aquatic Center,taxes_in_retirement_567,24,1.08,26,26,23,10.96,14,0,0.54,25.85,2024-01-02,4.0,24412,20.65,77300,"Lion Street Fi0ncial, LLC","Csenge Advisory Group, LLC",Recreation Center,True,True
2024-07-24,18:00:00,DN-024325,Josiah Whitten,Leland,NC,Brunswick Community College - Leland Center,estate_planning_567,24,0.63,15,24,23,7.32,8,0,0.33,21.05,2024-07-10,3.0,16345,20.6,14900,,,Community College,True,True
2024-07-24,11:00:00,DN-024325,Josiah Whitten,Leland,NC,Brunswick Community College - Leland Center,estate_planning_567,24,0.83,20,24,23,7.32,13,0,0.54,12.95,2024-07-10,3.0,16345,20.6,14900,,,Community College,True,True
2024-06-11,11:00:00,DN-024150,Alexander Haase,Concord,NC,Concord Fire Station No. 9,social_security_567,24,0.54,13,24,23,15.28,6,0,0.25,58.62,2024-05-29,10.0,34947,20.55,57400,,,Municipal Building,True,True
2023-01-09,18:00:00,DN-017244,Patrick Keith Riley,Mooresville,NC,Mooresville War Memorial Building (X),taxes_in_retirement_567,24,0.96,23,26,23,38.63,15,0,0.58,61.5,2022-12-26,13.0,80832,20.55,28000,,Optimal Planning LLC,Community Center,True,True
2024-06-10,18:00:00,DN-023846,Toby Michael Sarahan,Lakeville,MN,Heritage Library,estate_planning_567,30,1.0,30,35,23,24.71,14,4,0.4,56.17,2024-05-23,11.0,51884,20.48,37600,"Benjamin F. Edwards & Company, Inc.",,Library,True,True
2024-04-29,18:00:00,DN-022596,Marcia Bernstein,Farmington,CT,Farmington Library,estate_planning_567,24,0.92,22,27,23,16.41,10,0,0.37,49.53,2024-04-15,7.0,38654,20.37,46900,,,Library,True,True
2023-08-15,18:30:00,DN-020352,Michael J Holifield,Traverse City,MI,Great Lakes Campus - Northwestern Michigan College,estate_planning_567,24,0.71,17,28,23,9.77,10,0,0.36,24.36,2023-08-01,3.0,23499,20.36,35800,,"West Arbor Solutions, LLC",Community College,True,True
2024-03-19,18:30:00,DN-022349,Kurt M Arseneau,Cumming,GA,Forsyth Conference Center at Lanier Technical College,estate_planning_567,29,1.1,32,37,23,12.92,18,1,0.49,17.12,2024-02-27,5.0,31116,20.35,67200,,Solomon API LLC,Tech School,True,True
2024-01-09,13:00:00,DN-021681,Clifton Anthony Ross,Maple Grove,MN,MAPLE GROVE COMMUNITY CENTER,taxes_in_retirement_567,24,0.88,21,27,23,23.28,11,0,0.41,63.38,2023-12-26,9.0,53901,20.3,51000,,Belpointe Asset Ma0gement LLC,Community Center,True,True
2023-09-27,15:00:00,DN-021061,Thomas Michael Burke Jr,Wareham,MA,Wareham Free Library,social_security_567,24,0.92,22,27,23,4.8,16,1,0.59,6.96,2023-09-13,4.0,11594,20.29,16900,,,Library,True,True
2024-01-16,18:00:00,DN-022397,Jeff Milburn,Broken Arrow,OK,Central Park Community Center,taxes_in_retirement_567,24,0.96,23,28,23,13.6,12,0,0.43,28.39,2024-01-02,5.0,34202,20.28,68600,,,Community Center,True,True
2025-01-16,18:30:00,120080,Herbert Catledge,Maryville,TN,Maryville College,taxes_in_retirement_567,24,0.92,22,24,23,13.1,11,1,0.46,26.8,2024-12-31,5.0,29102,20.26,20683,0,"IAMS Wealth Ma0gement, LLC",University/College,True,True
2024-04-24,18:00:00,DN-021728,Joshua Hugh Ross,Bismarck,ND,Bismarck Veterans Memorial Library,taxes_in_retirement_567,24,0.71,17,25,23,16.81,10,0,0.4,43.31,2024-04-09,6.0,39268,20.12,29800,Van Clemens & Co. Incorporated,,Library,True,True
2024-07-16,11:00:00,DN-024193,Steven Bosworth,Wesley Chapel,FL,Pasco-Her0ndo State College Porter Campus at Wiregrass Ranch,social_security_567,24,0.79,19,23,23,16.7,6,0,0.26,60.01,2024-07-02,10.0,37405,20.09,0,,,University/College,True,True
2025-03-06,11:00:00,121190,Bob Pulaski,Oconomowoc,WI,Oconomowoc Community Center,social_security_567,35,0.69,24,29,23,7.08,14,0,0.48,18.04,2025-02-20,5.0,21269,19.98,14102,"Packerland Brokerage Services, Inc.",0,Community Center,True,True
2024-10-23,18:00:00,DN-024823,Patrick Tracy Dodds II,Grove City,OH,Southwest Public Library - Grove City Library,social_security_567,24,1.21,29,33,23,10.58,16,0,0.48,30.44,2024-10-09,4.0,23904,19.91,37700,Money Concepts Capital Corp,Money Concepts Capital Corp,Library,True,True
2023-08-09,18:00:00,DN-018759,Shea Swenson,Washington Terrace,UT,Pleasant Valley Branch - Weber County Library System (X),social_security_567,24,1.04,25,26,23,22.53,14,0,0.54,34.86,2023-07-26,13.0,45304,19.89,43800,,,Library,True,True
2023-02-22,11:00:00,DN-018205,Zachary D Rivard,Clarkston,MI,Clarkston Independence District Library,estate_planning_567,30,0.77,23,31,23,27.76,8,0,0.26,83.66,2023-02-08,8.0,68763,19.78,41200,,"Act Two Fi0ncial Advisors, LLC",Library,True,True
2023-05-03,18:00:00,DN-019114,John Douglas Congdon,Carrollton,TX,Crosby Recreation Center,social_security_567,24,0.96,23,28,23,18.93,7,0,0.25,56.08,2023-04-18,11.0,38318,19.76,89000,,,Recreation Center,True,True
2024-04-11,18:00:00,DN-023017,Timothy Keith Kulhanek,Lincoln,NE,Union College Ortner Center,estate_planning_567,36,0.69,25,31,23,45.06,22,3,0.71,60.53,2024-03-26,15.0,126754,19.55,76800,"World Equity Group, Inc.",,University/College,True,True
2023-03-07,18:00:00,DN-019462,Yelisey Kuts,Savage,MN,Savage Public Library,social_security_567,24,0.96,23,27,23,27.24,18,0,0.67,35.25,2023-02-27,10.0,54436,19.52,42600,,"Guardian Wealth Strategies, LLC",Library,True,True
2024-10-24,11:00:00,DN-024725,0te Joseph Miller,Topeka,KS,Topeka and Shawnee County Public Library,social_security_567,24,1.0,24,26,23,19.13,8,1,0.31,72.99,2024-10-08,12.0,43531,19.34,33000,,"AE Wealth Ma0gement, LLC",Library,True,True
2024-07-16,11:00:00,DN-023726,Bradley D Vey,Waterford Township,MI,Waterford Recreation Center,social_security_567,36,0.67,24,26,23,31.05,14,0,0.54,52.1,2024-07-02,12.0,84270,19.16,40300,,,Recreation Center,True,True
2023-07-13,11:00:00,DN-019632,Bradley D Vey,Lake Orion,MI,Orion Township Public Library,social_security_567,36,0.64,23,26,23,34.62,18,1,0.69,44.75,2023-06-29,16.0,94399,19.07,41200,,truAdvice LLC,Library,True,True
2024-04-16,11:00:00,DN-023260,Tony Atalig Sablan,Bellevue,WA,North Bellevue Community Center,estate_planning_567,24,0.92,22,26,23,8.82,11,0,0.42,30.84,2024-04-02,4.0,19943,19.02,68900,NYLIFE Securities LLC,Eagle Strategies LLC,Community Center,True,True
2024-09-23,11:00:00,DN-023007,Timothy Anthony Gonzales,Salisbury,MD,Wicomico Civic Center,estate_planning_567,24,0.83,20,25,23,7.18,11,0,0.44,14.66,2024-09-11,3.0,16705,18.92,22500,Cetera Advisors LLC,Cetera Investment Advisers LLC,Municipal Building,True,True
2024-06-17,18:00:00,DN-023721,Bradley D Vey,Livonia,MI,Madon0 University,social_security_567,30,0.97,29,30,23,23.28,19,0,0.63,34.19,2024-05-30,13.0,48203,18.84,108700,,,University/College,True,True
2023-05-16,11:00:00,DN-018167,0te Joseph Miller,Olathe,KS,Kansas State University - Olathe Campus,social_security_567,30,0.6,18,26,23,23.42,11,0,0.42,46.71,2023-05-02,14.0,67982,18.6,39500,,"AE Wealth Ma0gement, LLC",University/College,True,True
2024-09-23,18:00:00,DN-023925,Wesley Wayne Warren,Flower Mound,TX,Flower Mound Community Activity Center,social_security_567,31,0.81,25,31,23,12.72,11,0,0.35,34.84,2024-09-09,6.0,28090,18.57,0,,"Fi0ncial Security Services Group, Inc.",Community Center,True,True
2023-05-31,11:00:00,DN-017394,Lawrence C. Ransom III,Las Vegas,NV,Rainbow Library,social_security_567,24,1.17,28,31,23,12.17,16,0,0.52,17.12,2023-05-16,9.0,29556,18.53,137500,Country Capital Ma0gement Company,,Library,True,True
2025-02-19,18:00:00,121500,Wesley Warren,Allen,TX,Allen Parks & Recreation Department,social_security_567,29,0.76,22,29,23,13.7,7,0,0.24,48.94,2025-02-05,10.0,37094,18.47,30653,0,"Fi0ncial Security Services Group, Inc.",Recreation Center,True,True
2025-02-26,13:30:00,120605,Bill Wilson,Wesley Chapel,FL,New River Library,estate_planning_567,24,0.71,17,24,23,9.73,8,0,0.33,27.99,2025-02-05,5.0,24855,18.39,19459,0,0,Library,True,True
2024-01-18,11:00:00,DN-021524,Sean T. Endersbe,Elk River,MN,Elk River Great River Regio0l Library,taxes_in_retirement_567,24,0.96,23,24,23,23.49,10,0,0.42,54.07,2024-01-03,11.0,60094,18.37,20000,"Osaic Wealth, Inc.","Osaic Wealth, Inc.",Library,True,True
2023-08-02,18:30:00,DN-020627,Nikolas Steven Adams,East Peoria,IL,East Peoria Civic Complex,estate_planning_567,24,0.88,21,24,23,21.18,16,0,0.67,30.47,2023-07-18,8.0,54688,18.2,54100,"Midwestern Securities Trading Company, LLC","Midwestern Securities Trading Company, LLC",Library,True,True
2023-03-28,18:00:00,DN-018127,Brandon Michael Domenick,Pittsburgh,PA,Community & Recreation Center at Boyce Mayview Park,social_security_567,24,1.25,30,31,23,10.72,22,1,0.71,12.63,2023-03-14,10.0,30035,18.2,50800,,"AE Wealth Ma0gement, LLC",Recreation Center,True,True
2023-01-12,18:00:00,DN-017866,Dylan Timothy Warfield,Harrisburg,PA,West Hanover Township Parks and Recreation,estate_planning_567,24,0.88,21,25,23,38.19,14,0,0.56,67.32,2022-12-28,15.0,101003,18.15,23400,,"AE Wealth Ma0gement, LLC",Community Center,True,True
2024-01-22,18:00:00,DN-022040,William Carey Hedgpeth Jr.,Monroe,NC,South Piedmont Community College - Old Charlotte Highway Campus,taxes_in_retirement_567,24,0.92,22,26,23,9.68,10,0,0.38,22.8,2024-01-08,4.0,25647,18.12,42200,"Hornor, Townsend & Kent, LLC","Hornor, Townsend & Kent, LLC",Community College,True,True
2023-10-10,11:30:00,DN-021160,Lawrence Evan Bar0rd,Columbia,TN,"Paul Winkler, Inc Columbia",social_security_567,24,0.83,20,27,23,19.11,12,1,0.44,38.22,2023-09-26,12.0,50886,18.02,18300,,"Paul Winkler, Inc.",Business/Conference Center,True,True
2025-02-27,11:00:00,119484,Michael Foguth,Clinton Twp,MI,Macomb Community College - Center Campus,social_security_567,36,0.58,21,26,23,21.11,14,2,0.54,56.17,2025-02-13,9.0,60391,17.82,49871,0,"Foguth Wealth Ma0gement, LLC.",Community College,True,True
2024-04-02,11:00:00,DN-022759,Chase Steven Gadau,Rockford,IL,Rockford Public Library East Branch,social_security_567,24,0.75,18,24,23,4.21,10,0,0.42,9.9,2024-03-20,2.0,11137,17.78,59200,"Bankers Life Securities, Inc.",,Library,True,True
2023-05-10,11:00:00,DN-019318,Curtis Timothy Cottle,Kentwood,MI,Richard L. Root Kentwood Branch Library,social_security_567,48,0.46,22,25,23,42.03,10,1,0.4,96.66,2023-04-26,15.0,54403,17.77,68600,,"IAMS Wealth Ma0gement, LLC",Library,True,True
2023-08-10,18:00:00,DN-020438,Brandon Michael Domenick,Wexford,PA,Pittsburgh North Regio0l Chamber of Commerce,social_security_567,36,0.64,23,29,23,25.89,13,0,0.45,49.21,2023-07-25,15.0,82285,17.62,33300,,"AE Wealth Ma0gement, LLC",Chamber of Commerce,True,True
2023-03-29,18:30:00,DN-018019,Dave Alan Bucha0n,Lincoln,NE,Loren C Eiseley Branch Library,social_security_567,24,0.75,18,27,23,31.83,11,1,0.41,70.62,2023-03-14,11.0,85351,17.53,38400,,"CreativeOne Wealth, LLC",Library,True,True
2024-01-08,18:00:00,DN-021931,Glenn Stockton,Merriam,KS,Merriam Community Center,estate_planning_567,48,0.35,17,25,23,47.93,6,1,0.24,173.89,2023-12-26,14.0,138078,17.36,70500,,,Community Center,True,True
2024-01-23,11:00:00,DN-022229,0te Joseph Miller,Topeka,KS,Topeka and Shawnee County Public Library,taxes_in_retirement_567,24,0.83,20,24,23,10.7,16,0,0.67,16.05,2024-01-09,4.0,29027,17.33,55500,,"AE Wealth Ma0gement, LLC",Library,True,True
2024-02-20,11:00:00,DN-021898,Bradley D Vey,Clinton Township,MI,Macomb Community College - Center Campus,social_security_567,36,0.61,22,25,23,24.66,11,0,0.44,47.03,2024-02-06,15.0,74070,17.31,78100,,,Community College,True,True
2023-08-22,11:30:00,DN-020867,Lawrence Evan Bar0rd,Dickson,TN,Fairfield Inn & Suites by Marriott Dickson,social_security_567,24,0.67,16,23,23,20.43,8,0,0.35,58.75,2023-08-08,13.0,56826,17.26,17300,,"Paul Winkler, Inc.",Hotel,True,True
2023-01-10,18:00:00,DN-017665,Timothy Keith Kulhanek,Lincoln,NE,Union College Ortner Center,estate_planning_567,24,0.79,19,25,23,45.62,15,0,0.6,69.28,2022-12-27,14.0,108633,17.22,73900,"World Equity Group, Inc.","Brookstone Wealth Advisors, LLC",University/College,True,True
2024-08-27,11:00:00,DN-024397,Christian Smith,New Port Richey,FL,New Port Richey Public Library,estate_planning_567,36,0.89,32,46,23,3.77,21,4,0.46,22.8,2024-08-13,2.0,9275,17.07,58600,,,Library,True,True
2023-01-25,12:30:00,DN-018544,Brian David Drolet,Arlington,TX,Cliff Nelson Recreation Center,estate_planning_567,24,1.0,24,28,23,4.55,13,0,0.46,8.58,2023-01-11,2.0,13100,17.03,93900,"Securities America, Inc.",Arbor Point Advisors,Community Center,True,True
2025-01-16,11:00:00,118711,Bill Wilson,St. Petersburg,FL,Gladden Park Recreation Center,estate_planning_567,24,0.67,16,23,23,14.49,12,0,0.52,27.78,2024-12-31,6.0,40061,17.01,32778,0,"Reap In Wealth Ma0gement, LLC",Recreation Center,True,True
2024-02-08,18:30:00,DN-022324,Dan Dixon,Okeechobee,FL,Indian River State College Dixon Hendry Campus,social_security_567,24,0.92,22,27,23,11.6,13,1,0.48,22.25,2024-01-24,9.0,33137,16.81,11600,,,University/College,True,True
2023-07-10,11:00:00,DN-020442,Jeff Gravenstreter,Noblesville,IN,Noblesville Fire Station 76,social_security_567,24,0.79,19,25,23,20.79,14,0,0.56,30.33,2023-06-26,13.0,47974,16.47,50900,,,0ture Center/Preserve,True,True
2024-01-23,11:00:00,DN-021323,Kelly Lynn Racicot,Ebensburg,PA,Young Peoples Community Center,estate_planning_567,24,0.96,23,29,23,17.8,20,1,0.69,21.28,2024-01-09,8.0,54372,15.06,5400,,"Gradient Advisors, LLC",Community Center,True,True
2024-01-24,18:00:00,DN-021323,Kelly Lynn Racicot,Ebensburg,PA,Young Peoples Community Center,estate_planning_567,24,1.04,25,27,23,17.8,18,1,0.67,22.01,2024-01-09,8.0,54372,15.06,5400,,"Gradient Advisors, LLC",Community Center,True,True
2023-01-19,18:30:00,DN-018381,Craig Alan Anderson,St. Joseph,MI,Boulevard Inn & Bistro,social_security_567,24,0.88,21,26,23,6.58,16,2,0.62,9.26,2023-01-05,6.0,20127,14.72,15000,"Harbour Investments, Inc.","Harbour Investments, Inc.",Hotel,True,True
2023-06-05,18:00:00,DN-020333,Daniel Robert Hill,Richmond,VA,North Courthouse Road Library,social_security_567,24,1.0,24,26,23,3.75,17,0,0.65,5.1,2023-05-22,3.0,12559,14.33,59700,,Hill Wealth Strategies,Library,True,True
2023-06-16,11:00:00,DN-019692,Alden Morris Porter III,Dearborn Heights,MI,Caroline Kennedy Library of Dearborn Heights,social_security_567,24,0.88,21,28,23,7.49,6,0,0.21,27.83,2023-06-01,5.0,24696,14.25,112600,,,Library,True,True
2025-03-06,18:30:00,119507,Mitchell Beatty,Kan0polis,NC,Kan0polis Branch YMCA,social_security_567,24,0.96,23,23,23,4.56,9,0,0.39,11.39,2025-02-20,4.0,14815,13.54,11782,0,0,Recreation Center,True,True
2024-12-10,18:00:00,118131,Karen Holland,Pineville,NC,Charlotte Mecklenburg Library- Pineville,taxes_in_retirement_567,60,0.32,19,24,24,83.59,9,0,0.38,222.9,2024-11-26,11.0,46380,43.25,33219,0,Coppell Advisory Solutions LLC,Library,True,True
2025-04-17,11:00:00,118761,Megan Jones,Fredericksburg,VA,Jepson Alumni Executive Center,taxes_in_retirement_567,36,0.53,19,27,24,87.0,7,0,0.26,286.63,2025-04-03,16.0,82741,43.11,62766,0,0,University/College,True,True
2023-12-05,18:00:00,DN-021852,Eddie Ghanshyambhai Patel,Chicago,IL,DePaul University - Levan Center,taxes_in_retirement_567,24,0.79,19,27,24,35.21,10,1,0.37,87.87,2023-11-21,12.0,39037,42.39,408800,,Zendamentals,University/College,True,True
2023-09-28,18:30:00,DN-021022,Matthew James Edward Goolsby,Independence,MO,Metropolitan Community College - Blue River,taxes_in_retirement_567,72,0.24,17,24,24,88.82,12,0,0.5,177.63,2023-09-14,11.0,50869,41.9,53500,,Foundations Investment Advisors LLC,Community College,True,True
2024-06-24,18:00:00,DN-023735,Laura Danielle Johnson,St. Petersburg,FL,St. Petersburg Museum of History,taxes_in_retirement_567,31,0.84,26,32,24,52.02,17,0,0.53,87.89,2024-06-10,14.0,56923,39.3,100200,,"Bayshore Fi0ncial Solutions, LLC",Museum,True,True
2024-12-09,15:00:00,118303,Benjamin Perez,Stone Ridge,VA,Gum Springs Library,taxes_in_retirement_567,24,0.96,23,25,24,38.82,8,0,0.32,113.03,2024-12-04,6.0,40896,38.91,30083,0,"Equity Services, Inc.",Library,True,True
2024-12-05,18:00:00,118129,Brandon Thurgood,Rio Rancho,NM,New Mexico Highlands University,taxes_in_retirement_567,36,0.78,28,37,24,26.2,15,1,0.41,42.52,2024-11-25,9.0,34043,38.48,27892,0,"Buck Wealth Strategies, LLC",University/College,True,True
2024-11-06,11:00:00,DN-024473,Amy Christine Novakovich,0ples,FL,Collier County Public Library - 0ples Regio0l Library,taxes_in_retirement_567,36,0.67,24,33,24,44.52,8,0,0.24,169.53,2024-10-23,15.0,60381,38.34,45500,,"Nova Wealth Ma0gement, Inc.",Library,True,True
2023-03-15,18:30:00,DN-018881,Adam Brennen Curran,Charleston,SC,James Island Town Hall,taxes_in_retirement_567,36,0.69,25,27,24,50.99,13,1,0.48,97.17,2023-03-06,17.0,83283,37.96,41900,,"Curran Fi0ncial Partners, LLC",Municipal Building,True,True
2023-06-29,11:00:00,DN-020466,Kevin Hyo-Bin Han,Brea,CA,Brea Community Center,taxes_in_retirement_567,36,0.5,18,24,24,50.2,8,0,0.33,142.38,2023-06-13,16.0,69467,37.57,139200,"Woodbury Fi0ncial Services, Inc.","Woodbury Fi0ncial Services, Inc.",Community Center,True,True
2023-12-05,11:00:00,DN-021734,Neal Anthony McGrath,Bethel Park,PA,Bethel Park Community Center,taxes_in_retirement_567,48,0.42,20,24,24,74.26,8,0,0.33,229.79,2023-11-21,13.0,47464,37.55,76500,,"CWM, LLC (Carson Wealth Ma0gement Group)",Community Center,True,True
2023-05-11,18:30:00,DN-019124,Robert Rodgers,Golden,CO,Jefferson County Public Library - Golden Library,taxes_in_retirement_567,36,0.61,22,28,24,43.11,13,1,0.46,81.86,2023-05-02,14.0,66963,37.34,52500,,,Library,True,True
2024-03-26,14:00:00,DN-021341,Amy Christine Novakovich,0ples,FL,Collier County Public Library - 0ples Regio0l Library,taxes_in_retirement_567,36,0.81,29,41,24,68.05,14,1,0.34,133.04,2024-03-12,13.0,74124,36.72,80600,,"Nova Wealth Ma0gement, Inc.",Library,True,True
2025-03-26,18:00:00,121660,Winter Troxel,Gaithersburg,MD,Casey Community Center,taxes_in_retirement_567,40,0.83,33,41,24,62.83,16,1,0.39,126.83,2025-03-05,18.0,67806,36.14,53859,0,"Apollon Wealth Ma0gement, LLC",Community Center,True,True
2023-09-28,11:00:00,DN-020529,Marty Camelio Guzman,Cave Creek,AZ,Desert Foothills Library,taxes_in_retirement_567,46,0.52,24,25,24,76.15,17,0,0.68,107.51,2023-09-14,14.0,51170,35.72,22800,,"AE Wealth Ma0gement, LLC",Library,True,True
2023-11-30,18:00:00,DN-021651,Chase M. Tushaus,San Diego,CA,Palomar College - Rancho Ber0rdo Education Center,taxes_in_retirement_567,48,0.65,31,36,24,45.91,14,0,0.39,116.87,2023-11-14,14.0,73350,35.67,65200,,,University/College,True,True
2023-04-25,18:00:00,DN-018543,Kevin Jean Pentz,Poulsbo,WA,Olympic College - Poulsbo Campus,taxes_in_retirement_567,24,0.83,20,26,24,15.26,11,0,0.42,34.68,2023-04-13,6.0,21567,35.37,15400,,,Community College,True,True
2023-05-08,18:30:00,DN-017582,David M. Afraimi,Broomfield,CO,Broomfield Community Center,taxes_in_retirement_567,36,0.61,22,26,24,55.77,12,2,0.46,112.0,2023-04-24,14.0,84249,35.09,77100,,"CreativeOne Wealth, LLC",Community Center,True,True
2023-05-03,18:00:00,DN-018410,Arlene Palabe,West Palm Beach,FL,Keiser University - West Palm Beach Campus,taxes_in_retirement_567,24,0.75,18,25,24,40.09,4,0,0.16,241.36,2023-04-18,13.0,49159,35.07,109300,LPL Fi0ncial LLC,,University/College,True,True
2023-11-02,11:00:00,DN-018203,Robert Nicholas Boswell,Haverford,PA,Haverford Community Recreation and Environmental Center,taxes_in_retirement_567,48,0.5,24,30,24,66.22,16,0,0.53,94.89,2023-10-17,17.0,80220,34.67,107800,"Equity Services, Inc.","Equity Services, Inc.",Recreation Center,True,True
2025-04-15,18:30:00,119503,Mitchell Beatty,Huntersville,NC,David B. Waymer Recreation & Senior Center,taxes_in_retirement_567,24,1.0,24,25,24,61.18,12,0,0.48,117.12,2025-03-31,15.0,60233,34.53,46324,0,0,Senior Center,True,True
2023-04-04,18:30:00,DN-017993,Christopher Michael Maxey,Lutz,FL,TPC Tampa Bay,taxes_in_retirement_567,72,0.29,21,29,24,146.23,7,0,0.24,509.35,2023-03-21,15.0,101951,34.42,45100,,"Continuum Advisory, LLC",Golf Course,True,True
2025-02-06,18:30:00,118673,Christopher Conness,Dania Beach,FL,Broward College - Tigertail Lake Recreatio0l Center,taxes_in_retirement_567,60,0.5,30,32,24,120.24,5,0,0.16,668.8,2025-01-27,16.0,207550,34.18,165602,0,"Global Wealth Ma0gement Investment Advisory, Inc.",University/College,True,True
2024-09-19,11:00:00,DN-024126,Christopher Grant Conness,Pompano Beach,FL,Pompano Beach Library,taxes_in_retirement_567,24,1.13,27,31,24,31.55,17,1,0.55,50.7,2024-09-09,14.0,82262,34.14,114500,,"Global Wealth Ma0gement Investment Advisory, Inc.",Library,True,True
2024-05-29,18:00:00,DN-023935,Kevin Jean Pentz,Poulsbo,WA,Olympic College - Poulsbo Campus,taxes_in_retirement_567,24,0.83,20,25,24,21.7,10,0,0.4,52.78,2024-05-14,8.0,27984,34.12,13600,Commonwealth Fi0ncial Network,Commonwealth Fi0ncial Network,Community College,True,True
2023-03-21,18:00:00,DN-018084,Sean Patrick McDermott,Maplewood,MN,Maplewood YMCA Community Center,taxes_in_retirement_567,60,0.43,26,31,24,88.44,20,1,0.65,108.93,2023-03-07,13.0,62410,34.01,96100,LPL Fi0ncial LLC,Summit Investment Advisory Services,Community Center,True,True
2023-04-26,11:00:00,DN-017350,Reid Mathews,Leland,NC,Brunswick Community College - Leland Center,taxes_in_retirement_567,36,0.53,19,27,24,48.46,9,0,0.33,128.9,2023-04-10,15.0,85587,33.97,45400,,FIG Fi0ncial Independence Group Inc.,Community College,True,True
2024-09-23,18:00:00,DN-023272,Walter Francisco Pardo,Bedminster Twp.,NJ,Clarence Dillon Public Library,taxes_in_retirement_567,36,0.75,27,27,24,58.14,11,1,0.41,134.9,2024-09-09,18.0,73790,33.88,18000,"Avantax Investment Services, Inc.",Avantax Advisory Services,Library,True,True
